date,total,O,A,B,AB
2019-06-21,28413,5780,9875,9534,3224
2019-06-22,29933,6252,10226,10000,3455
2019-06-23,30601,6351,10415,10261,3574
2019-06-24,29974,6173,10245,10091,3465
2019-06-25,27602,5378,9479,9515,3230
2019-06-26,25537,4665,8823,9011,3038
2019-06-27,23999,4261,8373,8556,2809
2019-06-28,22915,3986,7936,8248,2745
2019-06-29,23946,4272,8168,8576,2930
2019-06-30,24233,4445,8228,8620,2940
2019-07-01,23036,4162,7769,8288,2817
2019-07-02,21748,3835,7252,7913,2748
2019-07-03,21807,3922,7223,8001,2661
2019-07-04,20382,3564,6624,7752,2442
2019-07-05,20676,3642,6846,7712,2476
2019-07-06,22638,4190,7547,8179,2722
2019-07-07,22823,4233,7607,8308,2675
2019-07-08,22688,4131,7606,8209,2742
2019-07-09,22426,3942,7408,8253,2823
2019-07-10,21434,3687,6992,8036,2719
2019-07-11,22575,4178,7244,8343,2810
2019-07-12,23448,4418,7494,8616,2920
2019-07-13,25339,4850,8149,9151,3189
2019-07-14,25419,4847,8088,9315,3169
2019-07-15,25938,4952,8167,9498,3321
2019-07-16,25630,4851,8051,9506,3222
2019-07-17,25858,4965,7990,9606,3297
2019-07-18,26261,4989,8229,9767,3276
2019-07-19,25946,4954,8110,9629,3253
2019-07-20,27132,5223,8526,9953,3430
2019-07-21,27861,5419,8813,10158,3471
2019-07-22,27113,5207,8555,10004,3347
2019-07-23,25470,4678,7955,9636,3201
2019-07-24,24075,4179,7566,9249,3081
2019-07-25,23399,4135,7360,8847,3057
2019-07-26,23562,4293,7437,8807,3025
2019-07-27,25326,4804,8127,9199,3196
2019-07-28,25731,4913,8261,9247,3310
2019-07-29,24705,4710,7895,8995,3105
2019-07-30,24136,4381,7779,8817,3159
2019-07-31,23309,4029,7422,8642,3216
2019-08-01,22869,4219,7159,8419,3072
2019-08-02,23001,4289,7083,8573,3056
2019-08-03,24203,4648,7611,8742,3202
2019-08-04,24278,4593,7716,8769,3200
2019-08-05,22946,4341,7220,8355,3030
2019-08-06,21735,4205,6740,8023,2767
2019-08-07,20669,4047,6394,7528,2700
2019-08-08,20590,4120,6337,7438,2695
2019-08-09,19929,4001,6162,7228,2538
2019-08-10,21768,4500,6762,7715,2791
2019-08-11,22360,4554,7000,7902,2904
2019-08-12,22180,4633,6953,7725,2869
2019-08-13,21605,4423,6798,7530,2854
2019-08-14,21285,4347,6740,7435,2763
2019-08-15,21979,4592,6982,7608,2797
2019-08-16,22170,4697,7044,7550,2879
2019-08-17,24416,5191,8036,8118,3071
2019-08-18,25095,5262,8310,8369,3154
2019-08-19,23998,5064,7805,8055,3074
2019-08-20,22601,4641,7363,7700,2897
2019-08-21,21406,4324,7076,7296,2710
2019-08-22,20748,4029,7035,7097,2587
2019-08-23,20193,3941,6747,6939,2566
2019-08-24,21932,4292,7445,7394,2801
2019-08-25,22580,4370,7670,7699,2841
2019-08-26,21644,4352,7150,7488,2654
2019-08-27,20472,3976,6637,7302,2557
2019-08-28,20204,4057,6358,7186,2603
2019-08-29,20268,3948,6434,7232,2654
2019-08-30,20431,3985,6452,7227,2767
2019-08-31,22270,4471,7178,7691,2930
2019-09-01,22233,4341,7246,7724,2922
2019-09-02,20976,4079,6831,7336,2730
2019-09-03,19758,3915,6337,6998,2508
2019-09-04,19520,3970,6146,6940,2464
2019-09-05,19140,3841,5956,6841,2502
2019-09-06,19965,4214,6125,7018,2608
2019-09-07,20204,4168,6268,7318,2450
2019-09-08,21287,4479,6692,7623,2493
2019-09-09,20748,4408,6513,7447,2380
2019-09-10,20305,4392,6293,7272,2348
2019-09-11,20899,4514,6558,7392,2435
2019-09-12,18806,3945,5889,6815,2157
2019-09-13,17003,3429,5301,6313,1960
2019-09-14,17064,3487,5332,6302,1943
2019-09-15,17704,3648,5617,6451,1988
2019-09-16,17725,3662,5665,6362,2036
2019-09-17,17185,3556,5528,6202,1899
2019-09-18,16397,3547,5180,5882,1788
2019-09-19,15677,3329,4951,5669,1728
2019-09-20,15816,3379,4981,5678,1778
2019-09-21,17175,3829,5431,5968,1947
2019-09-22,17504,3807,5497,6216,1984
2019-09-23,16360,3520,4971,6009,1860
2019-09-24,15480,3409,4403,5877,1791
2019-09-25,15340,3356,4350,5847,1787
2019-09-26,15229,3275,4360,5852,1742
2019-09-27,16568,3632,4925,6144,1867
2019-09-28,18064,4081,5462,6465,2056
2019-09-29,19209,4333,5923,6736,2217
2019-09-30,17100,3791,5230,6005,2074
2019-10-01,15939,3537,4732,5767,1903
2019-10-02,15627,3486,4667,5611,1863
2019-10-03,16256,3704,4921,5773,1858
2019-10-04,15658,3474,4737,5591,1856
2019-10-05,16597,3777,4912,5931,1977
2019-10-06,16820,3785,5020,5989,2026
2019-10-07,15226,3298,4507,5594,1827
2019-10-08,15770,3512,4694,5665,1899
2019-10-09,15780,3435,4676,5786,1883
2019-10-10,15561,3388,4623,5726,1824
2019-10-11,16188,3567,4980,5636,2005
2019-10-12,17870,4089,5565,6025,2191
2019-10-13,18305,4203,5709,6216,2177
2019-10-14,17653,3921,5621,6134,1977
2019-10-15,16710,3776,5146,5919,1869
2019-10-16,16099,3559,5121,5620,1799
2019-10-17,15821,3358,5198,5433,1832
2019-10-18,16471,3662,5283,5549,1977
2019-10-19,18768,4333,6087,6157,2191
2019-10-20,20729,4937,6728,6630,2434
2019-10-21,20369,4820,6659,6502,2388
2019-10-22,19883,4663,6447,6492,2281
2019-10-23,19235,4471,6114,6463,2187
2019-10-24,19158,4501,6076,6431,2150
2019-10-25,20243,4717,6501,6721,2304
2019-10-26,21999,5219,7085,7203,2492
2019-10-27,21280,5057,6877,6960,2386
2019-10-28,20860,4870,6815,6748,2427
2019-10-29,20489,4691,6677,6767,2354
2019-10-30,19866,4448,6365,6804,2249
2019-10-31,19992,4229,6523,6882,2358
2019-11-01,19537,4097,6268,6846,2326
2019-11-02,21238,4632,6736,7306,2564
2019-11-03,21377,4663,6782,7402,2530
2019-11-04,21002,4538,6657,7343,2464
2019-11-05,19663,4195,6183,6960,2325
2019-11-06,18545,3828,5687,6825,2205
2019-11-07,18452,3810,5701,6805,2136
2019-11-08,18156,3763,5520,6785,2088
2019-11-09,19996,4231,6198,7225,2342
2019-11-10,20008,4227,6134,7283,2364
2019-11-11,19236,4206,5719,7002,2309
2019-11-12,18140,3971,5344,6644,2181
2019-11-13,18561,4118,5632,6635,2176
2019-11-14,18949,4183,5846,6695,2225
2019-11-15,19152,4511,5973,6494,2174
2019-11-16,21242,4949,6746,7161,2386
2019-11-17,21129,4816,6712,7245,2356
2019-11-18,20697,4710,6455,7179,2353
2019-11-19,20071,4917,6118,6764,2272
2019-11-20,20606,5291,6198,6898,2219
2019-11-21,21802,5838,6576,7105,2283
2019-11-22,22441,6064,6819,7243,2315
2019-11-23,24397,6710,7448,7837,2402
2019-11-24,25173,7109,7694,7943,2427
2019-11-25,25824,7178,7929,8141,2576
2019-11-26,25516,7068,7790,8068,2590
2019-11-27,25684,7004,7882,8153,2645
2019-11-28,25682,6939,7921,8188,2634
2019-11-29,26821,7183,8231,8651,2756
2019-11-30,28679,7720,8840,9175,2944
2019-12-01,28105,7594,8660,9039,2812
2019-12-02,27219,7207,8330,8991,2691
2019-12-03,25783,6767,7835,8704,2477
2019-12-04,25004,6576,7521,8524,2383
2019-12-05,24332,6530,7313,8299,2190
2019-12-06,23700,6334,7092,8117,2157
2019-12-07,24844,6689,7502,8405,2248
2019-12-08,25095,6743,7488,8541,2323
2019-12-09,24223,6646,7231,8119,2227
2019-12-10,23544,6501,6992,7815,2236
2019-12-11,21960,5899,6524,7383,2154
2019-12-12,20886,5631,6196,6970,2089
2019-12-13,22209,6056,6492,7356,2305
2019-12-14,23281,6464,6919,7528,2370
2019-12-15,23818,6568,7065,7757,2428
2019-12-16,23637,6663,6943,7642,2389
2019-12-17,23165,6553,6813,7475,2324
2019-12-18,23178,6518,6922,7411,2327
2019-12-19,22223,6095,6608,7259,2261
2019-12-20,23682,6481,7105,7763,2333
2019-12-21,25243,6862,7766,8142,2473
2019-12-22,26116,7078,8125,8357,2556
2019-12-23,26493,7287,8138,8467,2601
2019-12-24,26349,7105,8038,8559,2647
2019-12-25,24703,6727,7432,8072,2472
2019-12-26,24870,6771,7531,8112,2456
2019-12-27,25337,6898,7750,8224,2465
2019-12-28,27677,7509,8621,8829,2718
2019-12-29,28591,7844,8844,9075,2828
2019-12-30,28984,7880,8968,9264,2872
2019-12-31,27504,7440,8353,8949,2762
2020-01-01,25126,6774,7535,8310,2507
2020-01-02,23603,6387,6997,7859,2360
2020-01-03,22280,6069,6624,7303,2284
2020-01-04,23039,6292,6926,7490,2331
2020-01-05,22903,6132,7008,7481,2282
2020-01-06,21092,5704,6368,6929,2091
2020-01-07,19153,5084,5659,6527,1883
2020-01-08,17793,4705,5118,6194,1776
2020-01-09,16036,4207,4627,5521,1681
2020-01-10,16693,4320,4867,5651,1855
2020-01-11,18171,4703,5445,6039,1984
2020-01-12,18699,4904,5678,6181,1936
2020-01-13,18586,4764,5671,6225,1926
2020-01-14,17665,4590,5265,5943,1867
2020-01-15,18759,4844,5670,6204,2041
2020-01-16,19032,4970,5831,6137,2094
2020-01-17,19424,5018,6057,6261,2088
2020-01-18,21710,5703,6823,6891,2293
2020-01-19,22996,6052,7212,7348,2384
2020-01-20,22983,6056,7137,7308,2482
2020-01-21,22200,5843,6755,7116,2486
2020-01-22,22165,5870,6614,7174,2507
2020-01-23,23463,6263,7139,7333,2728
2020-01-24,20862,5602,6147,6725,2388
2020-01-25,18806,5009,5429,6250,2118
2020-01-26,17089,4451,4841,5879,1918
2020-01-27,17080,4511,4913,5755,1901
2020-01-28,18664,4915,5522,6099,2128
2020-01-29,18743,4982,5526,6141,2094
2020-01-30,18216,4832,5383,5981,2020
2020-01-31,18440,5016,5505,5883,2036
2020-02-01,19589,5483,5838,6162,2106
2020-02-02,19684,5509,5869,6197,2109
2020-02-03,17772,5021,5153,5742,1856
2020-02-04,15954,4493,4518,5260,1683
2020-02-05,15532,4341,4527,4966,1698
2020-02-06,15912,4274,4759,5095,1784
2020-02-07,16321,4310,4992,5234,1785
2020-02-08,18841,5043,5824,5885,2089
2020-02-09,19723,5287,6186,6109,2141
2020-02-10,18983,5028,5950,5895,2110
2020-02-11,18837,5021,5866,5919,2031
2020-02-12,18807,5012,5748,5912,2135
2020-02-13,19879,5285,5959,6223,2412
2020-02-14,21245,5610,6405,6698,2532
2020-02-15,24958,6657,7694,7731,2876
2020-02-16,26643,7030,8399,8182,3032
2020-02-17,25951,6577,8364,8044,2966
2020-02-18,23451,5849,7618,7324,2660
2020-02-19,23318,5690,7588,7329,2711
2020-02-20,23042,5682,7545,7191,2624
2020-02-21,23355,5777,7600,7308,2670
2020-02-22,24483,6134,8108,7525,2716
2020-02-23,24029,6011,8085,7284,2649
2020-02-24,22419,5518,7454,6914,2533
2020-02-25,20624,5028,6810,6450,2336
2020-02-26,20033,4860,6655,6251,2267
2020-02-27,19999,4841,6693,6215,2250
2020-02-28,18747,4497,6251,5857,2142
2020-02-29,19346,4703,6592,5864,2187
2020-03-01,19358,4716,6640,5833,2169
2020-03-02,17700,4254,6032,5390,2024
2020-03-03,16446,3853,5581,5115,1897
2020-03-04,16051,3689,5351,5076,1935
2020-03-05,14994,3374,4934,4839,1847
2020-03-06,16803,3837,5461,5368,2137
2020-03-07,19374,4595,6291,6049,2439
2020-03-08,20143,4784,6534,6306,2519
2020-03-09,20229,4863,6505,6373,2488
2020-03-10,20718,5031,6748,6412,2527
2020-03-11,21420,5243,7002,6653,2522
2020-03-12,19636,4780,6408,6018,2430
2020-03-13,22029,5395,7422,6530,2682
2020-03-14,24351,6099,8298,7119,2835
2020-03-15,24463,6095,8390,7111,2867
2020-03-16,25517,6413,8766,7347,2991
2020-03-17,25704,6326,8760,7491,3127
2020-03-18,26648,6531,9128,7778,3211
2020-03-19,26946,6681,9228,7734,3303
2020-03-20,27694,6905,9532,7888,3369
2020-03-21,29098,7299,10069,8235,3495
2020-03-22,28436,7083,9924,8014,3415
2020-03-23,28414,6985,9930,8074,3425
2020-03-24,27681,6840,9607,7910,3324
2020-03-25,27398,6878,9591,7701,3228
2020-03-26,26848,6687,9425,7560,3176
2020-03-27,26528,6625,9281,7414,3208
2020-03-28,27960,7091,9871,7708,3290
2020-03-29,27997,7203,9802,7649,3343
2020-03-30,27478,7023,9532,7639,3284
2020-03-31,26988,6864,9453,7361,3310
2020-04-01,25632,6404,8979,6993,3256
2020-04-02,24413,6077,8546,6615,3175
2020-04-03,22715,5535,8024,6231,2925
2020-04-04,22497,5542,7997,6144,2814
2020-04-05,22405,5489,8032,6076,2808
2020-04-06,20633,5168,7338,5531,2596
2020-04-07,19098,4824,6653,5215,2406
2020-04-08,17884,4597,6241,4767,2279
2020-04-09,17251,4330,6071,4629,2221
2020-04-10,18200,4549,6315,4923,2413
2020-04-11,19960,5094,6920,5388,2558
2020-04-12,20472,5280,7085,5505,2602
2020-04-13,19743,5177,6902,5242,2422
2020-04-14,18754,4925,6480,4970,2379
2020-04-15,18192,4886,6283,4709,2314
2020-04-16,17402,4719,5982,4507,2194
2020-04-17,17691,4843,6152,4406,2290
2020-04-18,20244,5570,6975,5103,2596
2020-04-19,21531,5867,7406,5462,2796
2020-04-20,21156,5899,7266,5331,2660
2020-04-21,20078,5700,6867,4944,2567
2020-04-22,19695,5459,6939,4849,2448
2020-04-23,18787,5188,6765,4463,2371
2020-04-24,19584,5446,7024,4712,2402
2020-04-25,21457,6002,7842,5098,2515
2020-04-26,21884,6146,8020,5153,2565
2020-04-27,20776,5733,7517,5012,2514
2020-04-28,20069,5492,7205,4849,2523
2020-04-29,20186,5479,7279,4792,2636
2020-04-30,19324,5228,6973,4614,2509
2020-05-01,18486,4962,6722,4412,2390
2020-05-02,19889,5325,7322,4709,2533
2020-05-03,20087,5319,7423,4804,2541
2020-05-04,19216,5126,7055,4532,2503
2020-05-05,17991,4753,6673,4253,2312
2020-05-06,16602,4278,6291,3927,2106
2020-05-07,15922,4096,6088,3751,1987
2020-05-08,15257,3967,5796,3567,1927
2020-05-09,16376,4372,6079,3903,2022
2020-05-10,16223,4295,6140,3808,1980
2020-05-11,15220,4073,5827,3497,1823
2020-05-12,14296,3827,5445,3241,1783
2020-05-13,14119,3726,5239,3350,1804
2020-05-14,13696,3540,5113,3247,1796
2020-05-15,14992,3867,5635,3607,1883
2020-05-16,21326,5515,7819,5356,2636
2020-05-17,23478,5997,8633,5941,2907
2020-05-18,25221,6737,9026,6380,3078
2020-05-19,24350,6516,8664,6178,2992
2020-05-20,24574,6616,8836,6109,3013
2020-05-21,24550,6574,8860,6057,3059
2020-05-22,25386,6774,9153,6279,3180
2020-05-23,28517,7605,10274,7079,3559
2020-05-24,29225,7676,10534,7337,3678
2020-05-25,27911,7249,10021,7040,3601
2020-05-26,27329,7174,9835,6815,3505
2020-05-27,26425,7020,9570,6531,3304
2020-05-28,25564,6754,9321,6205,3284
2020-05-29,24683,6541,8999,5952,3191
2020-05-30,27038,7185,9796,6664,3393
2020-05-31,27761,7454,10024,6818,3465
2020-06-01,27085,7333,9648,6762,3342
2020-06-02,25180,6847,9051,6310,2972
2020-06-03,24848,6670,8839,6293,3046
2020-06-04,24318,6575,8382,6271,3090
2020-06-05,23500,6143,8290,6163,2904
2020-06-06,25439,6670,8979,6674,3116
2020-06-07,26050,6946,9071,6877,3156
2020-06-08,25098,6619,8703,6643,3133
2020-06-09,23455,6129,8122,6198,3006
2020-06-10,22937,6060,7989,5936,2952
2020-06-11,22095,5693,7697,5844,2861
2020-06-12,22236,5621,7633,6048,2934
2020-06-13,24763,6353,8539,6636,3235
2020-06-14,25286,6534,8659,6834,3259
2020-06-15,24469,6419,8348,6572,3130
2020-06-16,23608,6209,8156,6288,2955
2020-06-17,23536,6249,7952,6255,3080
2020-06-18,22523,6027,7544,5995,2957
2020-06-19,22427,5836,7479,6172,2940
2020-06-20,24590,6465,8158,6781,3186
2020-06-21,24902,6605,8319,6861,3117
2020-06-22,24347,6475,8051,6752,3069
2020-06-23,23569,6306,7685,6561,3017
2020-06-24,23255,6070,7719,6518,2948
2020-06-25,23369,6056,7740,6592,2981
2020-06-26,24468,6499,8121,6731,3117
2020-06-27,27987,7462,9367,7600,3558
2020-06-28,28791,7694,9741,7725,3631
2020-06-29,29251,7862,9867,7783,3739
2020-06-30,28657,7693,9675,7628,3661
2020-07-01,27855,7452,9359,7507,3537
2020-07-02,26552,7011,8883,7207,3451
2020-07-03,25970,6628,8779,7111,3452
2020-07-04,27753,7106,9501,7503,3643
2020-07-05,28582,7472,9706,7681,3723
2020-07-06,26919,7021,9019,7289,3590
2020-07-07,25899,6631,8705,7096,3467
2020-07-08,24932,6437,8299,6915,3281
2020-07-09,24075,6008,8096,6752,3219
2020-07-10,23711,5757,8064,6711,3179
2020-07-11,25808,6323,8911,7238,3336
2020-07-12,25825,6323,8956,7227,3319
2020-07-13,24505,5986,8535,6899,3085
2020-07-14,23804,5723,8274,6790,3017
2020-07-15,23175,5492,8135,6727,2821
2020-07-16,22849,5468,7990,6756,2635
2020-07-17,23741,5763,8293,6960,2725
2020-07-18,27107,6700,9496,7851,3060
2020-07-19,28130,6979,9973,8054,3124
2020-07-20,27364,6610,9980,7800,2974
2020-07-21,25807,6194,9510,7324,2779
2020-07-22,24381,5717,9019,6968,2677
2020-07-23,23100,5303,8682,6642,2473
2020-07-24,23539,5329,8829,6817,2564
2020-07-25,26413,6069,9859,7584,2901
2020-07-26,26975,6171,10172,7733,2899
2020-07-27,25901,5888,9766,7409,2838
2020-07-28,25300,5636,9695,7209,2760
2020-07-29,24653,5536,9582,6973,2562
2020-07-30,24011,5356,9470,6709,2476
2020-07-31,24533,5563,9664,6797,2509
2020-08-01,26835,6223,10389,7440,2783
2020-08-02,27160,6296,10552,7499,2813
2020-08-03,27782,6397,10805,7633,2947
2020-08-04,28381,6495,11189,7656,3041
2020-08-05,27750,6283,11077,7406,2984
2020-08-06,28565,6553,11322,7608,3082
2020-08-07,31124,7347,12240,8126,3411
2020-08-08,33581,8111,13147,8730,3593
2020-08-09,33486,8104,13163,8705,3514
2020-08-10,33681,8120,13142,8908,3511
2020-08-11,33384,8007,13058,8805,3514
2020-08-12,34287,8127,13506,9120,3534
2020-08-13,34590,8151,13610,9209,3620
2020-08-14,34936,8189,13720,9423,3604
2020-08-15,37624,8937,14729,10061,3897
2020-08-16,38751,9205,15134,10351,4061
2020-08-17,35282,8181,13890,9506,3705
2020-08-18,35027,8066,13817,9401,3743
2020-08-19,33574,7618,13275,9091,3590
2020-08-20,32161,7345,12806,8584,3426
2020-08-21,30526,6835,12219,8221,3251
2020-08-22,30829,6977,12358,8227,3267
2020-08-23,31028,7012,12483,8246,3287
2020-08-24,30374,6890,12243,8034,3207
2020-08-25,30174,6805,12081,7972,3316
2020-08-26,29575,6502,11829,8058,3186
2020-08-27,28766,6209,11601,7923,3033
2020-08-28,29081,6283,11722,8072,3004
2020-08-29,31738,7021,12683,8737,3297
2020-08-30,32854,7356,13160,8960,3378
2020-08-31,32655,7261,13129,8890,3375
2020-09-01,30919,6806,12516,8397,3200
2020-09-02,29204,6362,11867,7997,2978
2020-09-03,27727,5903,11358,7599,2867
2020-09-04,26805,5711,10994,7282,2818
2020-09-05,29301,6393,11822,7961,3125
2020-09-06,29595,6464,11931,8101,3099
2020-09-07,27165,5779,10978,7528,2880
2020-09-08,25320,5338,10254,6923,2805
2020-09-09,23590,4956,9559,6458,2617
2020-09-10,21670,4510,8777,5902,2481
2020-09-11,20793,4266,8370,5687,2470
2020-09-12,22854,4799,9103,6241,2711
2020-09-13,23631,4946,9454,6468,2763
2020-09-14,21540,4407,8613,5913,2607
2020-09-15,20114,4135,7962,5521,2496
2020-09-16,18722,3844,7430,5021,2427
2020-09-17,18110,3760,7235,4828,2287
2020-09-18,18357,3971,7229,4966,2191
2020-09-19,21254,4804,8256,5689,2505
2020-09-20,21683,4936,8395,5807,2545
2020-09-21,22660,5205,8661,6058,2736
2020-09-22,22391,5029,8575,6005,2782
2020-09-23,22043,4820,8744,5712,2767
2020-09-24,22208,4916,8812,5695,2785
2020-09-25,23423,5019,9337,6046,3021
2020-09-26,27271,5943,10873,7089,3366
2020-09-27,29211,6542,11555,7539,3575
2020-09-28,28931,6378,11369,7605,3579
2020-09-29,29131,6384,11580,7711,3456
2020-09-30,27390,5873,11047,7274,3196
2020-10-01,25339,5245,10398,6740,2956
2020-10-02,24804,5100,10222,6644,2838
2020-10-03,27846,5845,11258,7509,3234
2020-10-04,29244,6298,11735,7862,3349
2020-10-05,28393,6070,11217,7781,3325
2020-10-06,27171,5678,10691,7572,3230
2020-10-07,25615,5218,10261,7115,3021
2020-10-08,23600,4601,9590,6507,2902
2020-10-09,23321,4505,9439,6504,2873
2020-10-10,24297,4756,9791,6732,3018
2020-10-11,24143,4628,9833,6703,2979
2020-10-12,21347,3921,8812,5990,2624
2020-10-13,22040,4253,8867,6167,2753
2020-10-14,21897,4222,8779,6182,2714
2020-10-15,19691,3705,7939,5504,2543
2020-10-16,19746,3808,7815,5540,2583
2020-10-17,22054,4430,8586,6165,2873
2020-10-18,21996,4408,8483,6268,2837
2020-10-19,20786,4215,7954,5855,2762
2020-10-20,18331,3708,7044,5139,2440
2020-10-21,17243,3457,6689,4840,2257
2020-10-22,16177,3244,6247,4554,2132
2020-10-23,17346,3768,6599,4869,2110
2020-10-24,19957,4413,7500,5630,2414
2020-10-25,20266,4457,7605,5767,2437
2020-10-26,19629,4185,7330,5668,2446
2020-10-27,15560,3120,6003,4480,1957
2020-10-28,16416,3489,6211,4621,2095
2020-10-29,17512,3786,6542,4917,2267
2020-10-30,18106,4008,6727,4999,2372
2020-10-31,20339,4460,7558,5716,2605
2020-11-01,21236,4817,7883,5813,2723
2020-11-02,20538,4634,7571,5619,2714
2020-11-03,19411,4398,7056,5332,2625
2020-11-04,18776,4223,6808,5104,2641
2020-11-05,18395,4191,6618,5105,2481
2020-11-06,20431,4681,7388,5642,2720
2020-11-07,23850,5555,8554,6667,3074
2020-11-08,25287,5818,9161,7085,3223
2020-11-09,24603,5674,8942,6821,3166
2020-11-10,23717,5460,8706,6445,3106
2020-11-11,22692,5086,8435,6116,3055
2020-11-12,22078,4945,8185,5924,3024
2020-11-13,22163,4889,8296,6023,2955
2020-11-14,23901,5287,8881,6567,3166
2020-11-15,24261,5287,9139,6609,3226
2020-11-16,23271,5083,8668,6300,3220
2020-11-17,21518,4622,8068,5799,3029
2020-11-18,19963,4150,7527,5343,2943
2020-11-19,17981,3530,6899,4847,2705
2020-11-20,18821,3805,6949,5203,2864
2020-11-21,20990,4445,7656,5829,3060
2020-11-22,21353,4563,7835,5849,3106
2020-11-23,21327,4605,7660,5912,3150
2020-11-24,20209,4323,7288,5588,3010
2020-11-25,19115,4039,6861,5319,2896
2020-11-26,18009,3759,6517,4950,2783
2020-11-27,17438,3732,6321,4763,2622
2020-11-28,18988,4090,6920,5190,2788
2020-11-29,19157,4082,7038,5211,2826
2020-11-30,18426,3780,6788,5147,2711
2020-12-01,18046,3606,6730,4959,2751
2020-12-02,17538,3490,6534,4801,2713
2020-12-03,17582,3573,6476,4861,2672
2020-12-04,18203,3736,6591,5094,2782
2020-12-05,20263,4288,7426,5558,2991
2020-12-06,20825,4342,7612,5837,3034
2020-12-07,19160,3990,7103,5338,2729
2020-12-08,17495,3540,6559,4928,2468
2020-12-09,16457,3337,6103,4689,2328
2020-12-10,15080,2936,5614,4327,2203
2020-12-11,16012,3293,5919,4518,2282
2020-12-12,17554,3670,6559,4822,2503
2020-12-13,18106,3771,6715,5032,2588
2020-12-14,16596,3521,6070,4604,2401
2020-12-15,14758,3008,5386,4231,2133
2020-12-16,14238,2988,4994,4149,2107
2020-12-17,14237,3138,5013,4011,2075
2020-12-18,15593,3553,5473,4344,2223
2020-12-19,18420,4351,6504,5053,2512
2020-12-20,18646,4393,6635,5157,2461
2020-12-21,19529,4585,6825,5574,2545
2020-12-22,20316,4807,6935,5890,2684
2020-12-23,21092,4981,7317,6117,2677
2020-12-24,23011,5436,8058,6611,2906
2020-12-25,21590,4956,7585,6281,2768
2020-12-26,24744,5827,8630,7126,3161
2020-12-27,26097,6170,9206,7406,3315
2020-12-28,26610,6220,9394,7594,3402
2020-12-29,25624,5959,9070,7131,3464
2020-12-30,25710,5931,9146,7187,3446
2020-12-31,25424,5852,8993,7116,3463
2021-01-01,23030,5151,8137,6531,3211
2021-01-02,25009,5696,8760,7116,3437
2021-01-03,25145,5777,8747,7173,3448
2021-01-04,24424,5639,8457,6940,3388
2021-01-05,23382,5337,7968,6743,3334
2021-01-06,22516,5087,7689,6559,3181
2021-01-07,20690,4635,7048,6085,2922
2021-01-08,20934,4744,7137,6064,2989
2021-01-09,23216,5421,7782,6778,3235
2021-01-10,24115,5657,8102,7037,3319
2021-01-11,23051,5377,7590,6892,3192
2021-01-12,22230,5026,7408,6741,3055
2021-01-13,21941,4970,7193,6757,3021
2021-01-14,20880,4632,6764,6579,2905
2021-01-15,20701,4704,6578,6512,2907
2021-01-16,22533,5248,7193,6903,3189
2021-01-17,23437,5514,7491,7186,3246
2021-01-18,21346,4910,6909,6567,2960
2021-01-19,19966,4483,6427,6213,2843
2021-01-20,19348,4311,6265,5977,2795
2021-01-21,18006,4004,5731,5613,2658
2021-01-22,17640,3905,5435,5636,2664
2021-01-23,19087,4232,6006,6066,2783
2021-01-24,19584,4350,6148,6224,2862
2021-01-25,19834,4549,6168,6348,2769
2021-01-26,19757,4577,6088,6276,2816
2021-01-27,20628,4844,6397,6522,2865
2021-01-28,20492,4710,6477,6517,2788
2021-01-29,21228,4979,6668,6676,2905
2021-01-30,23230,5456,7427,7240,3107
2021-01-31,23952,5668,7685,7410,3189
2021-02-01,23200,5436,7400,7354,3010
2021-02-02,22912,5301,7298,7310,3003
2021-02-03,22396,5281,6981,7205,2929
2021-02-04,21195,4948,6452,6996,2799
2021-02-05,21799,5268,6648,7165,2718
2021-02-06,24800,6131,7700,7869,3100
2021-02-07,25787,6427,8038,8140,3182
2021-02-08,25443,6173,7845,8214,3211
2021-02-09,24322,5893,7464,7856,3109
2021-02-10,24011,5803,7553,7598,3057
2021-02-11,22010,5271,6910,7036,2793
2021-02-12,20022,4717,6203,6523,2579
2021-02-13,20429,4814,6415,6618,2582
2021-02-14,21819,5327,6784,6978,2730
2021-02-15,21329,5085,6584,6908,2752
2021-02-16,19934,4631,6110,6585,2608
2021-02-17,18416,4231,5579,6124,2482
2021-02-18,17703,3998,5396,5884,2425
2021-02-19,17562,3950,5422,5852,2338
2021-02-20,19564,4481,6114,6479,2490
2021-02-21,19776,4566,6126,6578,2506
2021-02-22,18755,4308,5585,6441,2421
2021-02-23,17990,4075,5251,6288,2376
2021-02-24,17026,3844,4776,6121,2285
2021-02-25,16480,3594,4624,6071,2191
2021-02-26,17301,3869,4850,6277,2305
2021-02-27,19521,4577,5520,6909,2515
2021-02-28,20275,4821,5760,7071,2623
2021-03-01,19256,4535,5237,6971,2513
2021-03-02,17814,4214,4804,6381,2415
2021-03-03,17481,4164,4599,6374,2344
2021-03-04,16585,3986,4331,6066,2202
2021-03-05,16609,3991,4446,5956,2216
2021-03-06,19593,4789,5512,6719,2573
2021-03-07,20281,4946,5745,6961,2629
2021-03-08,18843,4591,5091,6662,2499
2021-03-09,17044,4059,4490,6247,2248
2021-03-10,16383,3841,4295,5976,2271
2021-03-11,15849,3722,4237,5695,2195
2021-03-12,15631,3656,4324,5483,2168
2021-03-13,17822,4266,4951,6166,2439
2021-03-14,18956,4569,5266,6513,2608
2021-03-15,18338,4284,5040,6410,2604
2021-03-16,17554,4136,4783,6120,2515
